FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
,B.Williams,DEF,MUN,4000000,0,0,0,0,0,0,16198,0,0,0,0,0,0,0,0,16198,0,0,0,0,0,0,0,0,0,0,0,0,2.4,4351,0,-1,0,0,0,4351,0,0,0,Brentford F.C.,Liverpool,Southampton,Leicester,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leon,Bailey,MID,AVL,5000000,2,2,2,4E-07,4E-07,0,93303,0,2,0,0,0,0,0,0.4,93303,0,0,2,0,0.4,0,2,0,0,0,0,0,17.1,78661,0,-1,0,0,90,78661,0,0,8,Everton,Crystal Palace,West Ham,Arsenal,Man City,1.9,1.3,1.8,1,1.2,1,1.2,1,1.9,1.2,1.5,1.6,1,1.7,1,1.3,1,1.1,1.3,1,1.4,1,1.2,1.5,1.7,1.4,1.3,1,2.3,1.3,1.2,1.9,1.3,1,1.2,1,1.1
Eric,Bailly,DEF,MUN,4000000,0,0,0,0,0,0,14736,0,0,0,0,0,0,0,0,14736,0,0,0,0,0,0,0,0,0,0,0,0,1.7,10223,0,-1,0,0,0,10223,0,0,0,Brentford F.C.,Liverpool,Southampton,Leicester,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefan,Bajcetic,MID,LIV,4500000,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,-1,0,0,0,103,0,0,0,Crystal Palace,Man Utd,Bournemouth,Newcastle,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellery,Balcombe,GLK,BRE,4000000,0,0,0,0,0,0,1731,0,0,0,0,0,0,0,0,1731,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,-1,0,0,0,0,0,0,0,Man Utd,Fulham,Everton,Crystal Palace,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick,Bamford,FWD,LEE,7500000,5,5,5,6.66666666666667E-07,6.66666666666667E-07,0,16461,0,1,0,0,0,0,0,0.7,16461,0,0,5,0,0.7,0,5,0,0,0,0,1,1.6,18615,0,-1,0,0,83,18615,0,0,8,Southampton,Chelsea,Brighton,Everton,Brentford F.C.,6.2,4.2,6.2,7.1,6.2,7.1,6.2,7.1,6.2,4.4,6.1,7.1,6.2,4.6,3.8,4.8,3.2,7.1,6.2,7.1,6.2,7.1,6.2,7.1,3.3,7.1,6.2,3.4,7.1,7.1,6.2,7,3.6,3.8,4.2,6.2,4.8
Shandon,Baptiste,MID,BRE,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,2007,0,0,0,0,0,0,0,0.2,2007,0,0,1,0,0.2,0,1,0,0,0,0,0,0.3,1794,0,-1,0,0,17,1794,0,0,5,Man Utd,Fulham,Everton,Crystal Palace,Leeds United F.C.,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.8,0.5,0.6,0.5,0.5
Ross,Barkley,MID,CHE,5000000,0,0,0,0,0,0,1031,0,0,0,0,0,0,0,0,1031,0,0,0,0,0,0,0,0,0,0,0,0,0.1,326,0,-1,0,0,0,326,0,0,0,Tottenham,Leeds United F.C.,Leicester,Southampton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harvey,Barnes,MID,LEI,7000000,0,0,0,0,0,0,71243,0,0,0,0,0,0,0,0,71243,0,0,0,0,0,0,0,0,0,0,0,0,1.4,212,0,-1,0,0,0,212,0,0,0,Arsenal,Southampton,Chelsea,Man Utd,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis,Bate,MID,LEE,4500000,0,0,0,0,0,0,527,0,0,0,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Southampton,Chelsea,Brighton,Everton,Brentford F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavin,Bazunu,GLK,SOU,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,3361,0,4,0,5,0,0,0,0.2,3361,0,0,1,0,0.2,0,1,0,0,0,0,0,0.7,2359,0,-1,0,0,90,2359,0,0,20,Leeds United F.C.,Leicester,Man Utd,Chelsea,Wolverhampton,0.5,0.5,1.4,0.9,1.2,0.5,0.7,1.4,0.5,1.1,0.5,0.9,0.9,0.5,0.5,0.5,0.5,0.7,1.2,0.9,0.5,1.4,0.7,0.5,0.6,1.2,1.1,0.9,0.5,1.1,0.7,0.5,0.5,0.5,0.5,0.5,0.5
,Bech,DEF,BRE,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,488,0,0,0,0,0,0,0,0.2,488,0,0,1,0,0.2,0,1,0,0,0,0,0,0.1,337,0,-1,0,0,6,337,0,0,3,Man Utd,Fulham,Everton,Crystal Palace,Leeds United F.C.,1.4,0.5,1.4,0.9,0.5,1.2,0.9,0.5,0.5,0.5,0.9,0.7,1.4,0.5,0.5,1.1,0.9,0.5,0.5,0.5,1.4,0.7,1.1,1.2,0.5,1.2,0.6,0.5,0.5,1.2,0.9,0.7,0.7,0.5,1.1,0.9,0.5
Jan,Bednarek,DEF,SOU,4500000,0,0,0,0,0,0,4280,0,4,0,0,0,0,0,0,4280,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1115,0,-1,0,0,90,1115,0,0,18,Leeds United F.C.,Leicester,Man Utd,Chelsea,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asmir,Begovic,GLK,EVE,4000000,0,0,0,0,0,0,1842,0,0,0,0,0,0,0,0,1842,0,0,0,0,0,0,0,0,0,0,0,0,0.6,3085,0,-1,0,0,0,3085,0,0,0,Aston Villa,Nottingham Forest FC,Brentford F.C.,Leeds United F.C.,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armel,Bella-Kotchap,DEF,SOU,4500000,0,0,0,0,0,0,761,0,0,0,0,0,0,0,0,761,0,0,0,0,0,0,0,0,0,0,0,0,0.1,88,0,-1,0,0,0,88,0,0,0,Leeds United F.C.,Leicester,Man Utd,Chelsea,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Said,Benrahma,MID,WHU,6000000,1,1,1,1.66666666666667E-07,1.66666666666667E-07,0,30638,0,1,0,0,0,0,0,0.2,30638,0,0,1,0,0.2,0,1,0,0,0,0,0,2,10757,0,-1,0,0,33,10757,0,0,0,Nottingham Forest FC,Brighton,Aston Villa,Tottenham,Chelsea,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.8,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Rodrigo,Bentancur,MID,TOT,5500000,1,1,1,1.81818181818182E-07,1.81818181818182E-07,0,6409,1,1,0,0,0,0,0,0.2,6409,0,0,1,0,0.2,0,1,0,0,0,0,0,0.4,4292,0,-1,0,0,85,4292,0,0,19,Chelsea,Wolverhampton,Nottingham Forest FC,West Ham,Fulham,0.5,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Christian,Benteke,FWD,CRY,5500000,0,0,0,0,0,0,28775,0,0,0,0,0,0,0,0,28775,0,0,0,0,0,0,0,0,0,0,0,0,0.7,3358,0,-1,0,0,0,3358,0,0,0,Liverpool,Aston Villa,Man City,Brentford F.C.,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven,Bergwijn,MID,TOT,5500000,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Chelsea,Wolverhampton,Nottingham Forest FC,West Ham,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bernardo,MID,MCI,7000000,1,1,1,1.42857142857143E-07,1.42857142857143E-07,0,139252,0,0,0,0,0,0,0,0.1,139252,0,0,1,0,0.1,0,1,0,0,0,0,0,6.6,23613,0,-1,0,0,12,23613,0,0,3,Bournemouth,Newcastle,Crystal Palace,Nottingham Forest FC,Aston Villa,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.7,0.6,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Ryan,Bertrand,DEF,LEI,4000000,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,607,0,-1,0,0,0,607,0,0,0,Arsenal,Southampton,Chelsea,Man Utd,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giulian,Biancone,DEF,NFO,4500000,0,0,0,0,0,0,1026,0,0,0,0,0,0,0,0,1026,0,0,0,0,0,0,0,0,0,0,0,0,0.1,145,0,-1,0,0,0,145,0,0,0,West Ham,Everton,Tottenham,Man City,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mads,Bidstrup,MID,BRE,4500000,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Man Utd,Fulham,Everton,Crystal Palace,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philip,Billing,MID,BOU,5500000,2,2,2,3.63636363636364E-07,3.63636363636364E-07,0,1977,1,0,0,0,0,0,0,0.4,1977,0,0,2,0,0.4,0,2,0,0,1,0,0,0.2,717,0,-1,0,0,90,717,0,0,10,Man City,Arsenal,Liverpool,Wolverhampton,Nottingham Forest FC,1,1.2,1,1.1,1.9,1.1,1,1.6,1.4,1.5,1.2,1.4,1.2,1,1.9,1,1.7,1.3,1.2,2.3,1,1.3,1,1.2,1,1.3,1.7,1.9,1,1,1.8,1,1.3,1.2,1.3,1.7,1.5
Yves,Bissouma,MID,TOT,5000000,0,0,0,0,0,0,10558,1,0,0,0,0,0,0,0,10558,0,0,0,0,0,0,0,0,0,0,0,0,0.6,4645,0,-1,0,0,4,4645,0,0,0,Chelsea,Wolverhampton,Nottingham Forest FC,West Ham,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willy,Boly,DEF,WOL,4500000,0,0,0,0,0,0,3817,0,0,0,0,0,0,0,0,3817,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1079,0,-1,0,0,0,1079,0,0,0,Fulham,Tottenham,Newcastle,Bournemouth,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sven,Botman,DEF,NEW,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,24491,0,0,0,0,0,0,0,0.2,24491,0,0,1,0,0.2,0,1,0,0,0,0,0,2.1,6729,0,-1,0,0,1,6729,0,0,3,Brighton,Man City,Wolverhampton,Liverpool,Crystal Palace,0.5,0.5,1.2,0.5,1.1,0.9,0.5,0.5,0.5,1.2,1.4,0.9,0.9,1.2,0.9,0.5,0.5,0.7,0.5,0.9,1.1,0.5,0.5,0.5,0.5,1.4,0.5,1.4,0.5,0.7,1.1,1.2,1.4,0.9,0.5,0.6,0.7
Jarrod,Bowen,MID,WHU,8500000,2,2,2,2.35294117647059E-07,2.35294117647059E-07,0,63887,0,2,0,0,0,0,0,0.2,63887,0,0,2,0,0.2,0,2,0,0,0,0,0,6.5,43333,0,-1,0,0,90,43333,0,0,5,Nottingham Forest FC,Brighton,Aston Villa,Tottenham,Chelsea,1.9,1.1,1.7,1.2,1,1.3,1.5,1.1,1.9,1,1,1.3,1.3,1.7,1.4,1,1.6,1,1,1.9,1,1.2,1,2.3,1,2.1,1,1.2,1.5,1.2,1,1.3,1.3,1.7,1.2,1.3,1
Jarrad,Branthwaite,DEF,EVE,4000000,0,0,0,0,0,0,503,0,0,0,0,0,0,0,0,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,Aston Villa,Nottingham Forest FC,Brentford F.C.,Leeds United F.C.,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armando,Broja,FWD,CHE,5500000,1,1,1,1.81818181818182E-07,1.81818181818182E-07,0,18754,0,0,0,0,0,0,0,0.2,18754,0,0,1,0,0.2,0,1,0,0,0,0,0,1.4,6261,0,-1,0,0,15,6261,0,0,3,Tottenham,Leeds United F.C.,Leicester,Southampton,West Ham,0.5,0.5,0.6,1.2,1,0.7,1.1,1.2,1.2,0.9,0.6,1.3,0.5,0.5,0.5,0.5,0.8,0.5,1.4,0.9,0.9,0.8,1.4,0.5,0.7,0.5,0.7,1.1,1,0.7,1.2,0.8,0.5,0.5,1,0.5,0.5
David,Brooks,MID,BOU,5500000,0,0,0,0,0,0,1184,0,0,0,0,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,-1,0,0,0,85,0,0,0,Man City,Arsenal,Liverpool,Wolverhampton,Nottingham Forest FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bruno Guimaraes,MID,NEW,6000000,3,3,3,5E-07,5E-07,0,69618,0,0,0,0,0,0,0,0.5,69618,0,0,3,0,0.5,0,3,0,0,1,0,0,10.2,47793,0,-1,0,0,90,47793,0,0,17,Brighton,Man City,Wolverhampton,Liverpool,Crystal Palace,1.6,2.4,1.6,1.9,3.2,2.7,2.5,2.8,3,2.6,3.4,1.9,3.7,1.8,2.3,2,2.5,1.8,3.4,2.6,3.3,2,2.5,2.2,1.9,2.2,3.5,3.2,2.4,3.1,2.4,2.8,2.3,2.3,2,2.6,1.8
Lewis,Brunt,DEF,LEI,4000000,0,0,0,0,0,0,2215,0,0,0,0,0,0,0,0,2215,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1691,0,-1,0,0,0,1691,0,0,0,Arsenal,Southampton,Chelsea,Man Utd,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bryan,MID,TOT,5000000,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,-1,0,0,0,201,0,0,0,Chelsea,Wolverhampton,Nottingham Forest FC,West Ham,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe,Bryan,DEF,FUL,4500000,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,-1,0,0,0,48,0,0,0,Wolverhampton,Brentford F.C.,Arsenal,Brighton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Buendia,MID,AVL,6000000,1,1,1,1.66666666666667E-07,1.66666666666667E-07,0,8158,0,1,0,0,0,0,0,0.2,8158,0,0,1,0,0.2,0,1,0,0,0,0,0,0.5,2161,0,-1,0,0,45,2161,0,0,8,Everton,Crystal Palace,West Ham,Arsenal,Man City,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5
,Bueno,DEF,WOL,4000000,0,0,0,0,0,0,4029,0,0,0,0,0,0,0,0,4029,0,0,0,0,0,0,0,0,0,0,0,0,0.7,6985,0,-1,0,0,0,6985,0,0,0,Fulham,Tottenham,Newcastle,Bournemouth,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan,Burn,DEF,NEW,4500000,6,6,6,1.33333333333333E-06,1.33333333333333E-06,0,5398,0,0,0,0,0,0,0,1.3,5398,0,0,6,0,1.3,0,6,0,0,1,0,0,1.2,12899,0,-1,0,0,90,12899,0,0,23,Brighton,Man City,Wolverhampton,Liverpool,Crystal Palace,6.6,6.1,7.4,5.9,8.5,7.4,7.8,5.2,6.1,7.4,8.5,7.4,8.5,7.4,8.5,7.4,8.1,7.4,6.4,7.4,8.5,6.6,7.1,7.8,4.9,8.5,7.4,8.5,4.9,7.4,8.5,7.4,8.5,8.5,7,8.5,7.4
Jack,Butland,GLK,CRY,4500000,0,0,0,0,0,0,1355,0,0,0,0,0,0,0,0,1355,0,0,0,0,0,0,0,0,0,0,0,0,0.1,76,0,-1,0,0,0,76,0,0,0,Liverpool,Aston Villa,Man City,Brentford F.C.,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,C.Doucoure,MID,CRY,5000000,2,2,2,4E-07,4E-07,0,1693,0,1,0,0,0,0,0,0.4,1693,0,0,2,0,0.4,0,2,0,0,0,0,0,0.1,1602,0,-1,0,0,74,1602,0,0,16,Liverpool,Aston Villa,Man City,Brentford F.C.,Newcastle,1,2.1,1,1.6,1,1.7,1,1.2,1.3,1,1.1,1.5,1.2,1.4,1.9,1.9,1,1.2,1,1.3,1.3,1.1,1.2,1.3,1.7,1.2,1,1.4,1,1,1.9,1,1.8,1,1.3,1.5,2.3
Willy,Caballero,GLK,SOU,4000000,0,0,0,0,0,0,3532,0,0,0,0,0,0,0,0,3532,0,0,0,0,0,0,0,0,0,0,0,0,1.3,2592,0,-1,0,0,0,2592,0,0,0,Leeds United F.C.,Leicester,Man Utd,Chelsea,Wolverhampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cafu,MID,NFO,4500000,0,0,0,0,0,0,4936,0,0,0,0,0,0,0,0,4936,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1735,0,-1,0,0,0,1735,0,0,0,West Ham,Everton,Tottenham,Man City,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Caicedo,MID,BHA,5000000,2,2,2,4E-07,4E-07,0,1126,0,1,0,0,0,0,0,0.4,1126,0,0,2,0,0.4,0,2,0,0,0,0,0,0.2,5067,0,-1,0,0,90,5067,0,0,17,Newcastle,West Ham,Leeds United F.C.,Fulham,Leicester,1.3,1.4,1.3,1.5,1.4,1,1.7,1,1.2,1.2,2.3,1,1.2,1,2.1,1,1.2,1.5,1.3,1,1.3,1.3,1.9,1,1.8,1,1.7,1.6,1,1,1.2,1.9,1.1,1.9,1,1.2,1.7
Tom,Cairney,MID,FUL,5000000,1,1,1,2E-07,2E-07,0,981,0,0,0,0,0,0,0,0.2,981,0,0,1,0,0.2,0,1,0,0,0,0,0,0.1,308,0,-1,0,0,1,308,0,0,3,Wolverhampton,Brentford F.C.,Arsenal,Brighton,Tottenham,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.7,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Dominic,Calvert-Lewin,FWD,EVE,8000000,0,0,0,0,0,0,17201,0,0,0,0,0,0,0,0,17201,0,0,0,0,0,0,0,0,0,0,0,0,0.4,354,0,-1,0,0,0,354,0,0,0,Aston Villa,Nottingham Forest FC,Brentford F.C.,Leeds United F.C.,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chem,Campbell,MID,WOL,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,1407,0,0,0,0,0,0,0,0.2,1407,0,0,1,0,0.2,0,1,0,0,0,0,0,0.2,6840,0,-1,0,0,5,6840,0,0,2,Fulham,Tottenham,Newcastle,Bournemouth,Southampton,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.6,0.5
Joao,Cancelo,DEF,MCI,7000000,7,7,7,1E-06,1E-06,0,82172,1,0,0,0,0,0,0,1,82172,0,0,7,0,1,0,7,2,0,1,0,0,45.1,123817,0,-1,0,0,90,123817,0,0,27,Bournemouth,Newcastle,Crystal Palace,Nottingham Forest FC,Aston Villa,9.5,8.7,9.9,9.9,8.7,9.9,8.7,9.9,9.9,7.5,8.7,9.5,8.7,8,7.7,8.7,9.9,8.7,8.7,9.9,8.7,9.9,8.7,8.2,9.9,8.7,9.9,8.8,8.7,9.9,8.2,9.9,6.6,9.9,8.7,9.9,6.3
,Canos,DEF,BRE,5000000,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,-1,0,0,0,102,0,0,0,Man Utd,Fulham,Everton,Crystal Palace,Leeds United F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott,Carson,GLK,MCI,4000000,0,0,0,0,0,0,958,0,0,0,0,0,0,0,0,958,0,0,0,0,0,0,0,0,0,0,0,0,0.2,438,0,-1,0,0,0,438,0,0,0,Bournemouth,Newcastle,Crystal Palace,Nottingham Forest FC,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Carvalho,MID,LIV,5500000,1,1,1,1.81818181818182E-07,1.81818181818182E-07,0,4215,0,0,0,0,0,0,0,0.2,4215,0,0,1,0,0.2,0,1,0,0,0,0,0,0.3,2110,0,-1,0,0,12,2110,0,0,1,Crystal Palace,Man Utd,Bournemouth,Newcastle,Everton,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.7,0.5
Matty,Cash,DEF,AVL,5000000,1,1,1,2E-07,2E-07,0,180912,0,2,0,0,0,0,0,0.2,180912,0,0,1,0,0.2,0,1,0,0,0,0,0,17.4,37558,0,-1,0,0,90,37558,0,0,15,Everton,Crystal Palace,West Ham,Arsenal,Man City,1.4,0.9,1.1,0.7,0.5,0.5,1.4,0.5,0.5,0.9,0.5,0.5,0.5,1.4,0.5,0.5,0.9,1.4,0.5,1.2,0.6,0.5,0.9,1.2,1.1,0.9,0.5,0.7,0.7,0.5,0.5,0.5,1.2,1.2,1.1,0.5,0.5
Timothy,Castagne,DEF,LEI,4500000,8,8,8,1.77777777777778E-06,1.77777777777778E-06,0,12363,0,2,0,0,0,1,0,1.8,12363,0,0,8,0,1.8,0,8,1,0,0,0,0,1.9,54111,0,-1,0,0,90,54111,0,0,23,Arsenal,Southampton,Chelsea,Man Utd,Brighton,9.9,11.4,9.9,11.4,9.9,11.4,9.9,11.4,9.9,11.4,11.4,9.9,9.3,9.9,9.9,11.4,9.1,9.6,9.9,11.4,9.9,11.4,9.9,11.4,9.9,11.4,7.7,9.9,11.4,7.7,11.4,9.9,11.4,8,10.6,9.9,11.4
,Cavaleiro,MID,FUL,5000000,0,0,0,0,0,0,1508,0,0,0,0,0,0,0,0,1508,0,0,0,0,0,0,0,0,0,0,0,0,0.1,511,0,-1,0,0,0,511,0,0,0,Wolverhampton,Brentford F.C.,Arsenal,Brighton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cedric,DEF,ARS,4500000,0,0,0,0,0,0,6172,0,0,0,0,0,0,0,0,6172,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1237,0,-1,0,0,0,1237,0,0,0,Leicester,Bournemouth,Fulham,Aston Villa,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
