FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Nathan,Ake,DEF,MCI,5000000,7,7,7,1.4E-06,1.4E-06,0,11247,0,0,0,0,0,0,0,1.4,11247,0,0,7,0,1.4,0,7,1,0,1,0,0,1.4,44753,0,-1,0,0,90,44753,0,0,26,Bournemouth,Newcastle,Crystal Palace,Nottingham Forest FC,Aston Villa,9.5,8.7,9.9,9.9,8.7,9.9,8.7,9.9,9.9,7.5,8.7,9.5,8.7,8,7.7,8.7,9.9,8.7,8.7,9.9,8.7,9.9,8.7,8.2,9.9,8.7,9.9,8.8,8.7,9.9,8.2,9.9,6.6,9.9,8.7,9.9,6.3
Marc,Albrighton,MID,LEI,5000000,0,0,0,0,0,0,1841,0,0,0,0,0,0,0,0,1841,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1112,0,-1,0,0,0,1112,0,0,0,Arsenal,Southampton,Chelsea,Man Utd,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trent,Alexander-Arnold,DEF,LIV,7500000,1,1,1,1.33333333333333E-07,1.33333333333333E-07,0,179090,0,2,0,0,0,0,0,0.1,179090,0,0,1,0,0.1,0,1,0,0,0,0,0,55.9,54246,0,-1,0,0,90,54246,0,0,13,Crystal Palace,Man Utd,Bournemouth,Newcastle,Everton,1.1,1.2,0.5,0.5,1.2,1.4,0.7,0.5,0.7,0.5,1.1,0.5,0.5,0.9,1.4,0.7,0.6,0.5,0.5,0.9,1.2,1.4,0.5,0.9,1.4,0.5,0.5,0.5,0.9,0.5,0.7,0.9,1.1,0.5,0.5,0.9,1.2
,Alisson,GLK,LIV,5500000,1,1,1,1.81818181818182E-07,1.81818181818182E-07,0,117411,0,2,0,1,0,0,0,0.2,117411,0,0,1,0,0.2,0,1,0,0,0,0,0,18.7,33304,0,-1,0,0,90,33304,0,0,11,Crystal Palace,Man Utd,Bournemouth,Newcastle,Everton,1.1,1.2,0.5,0.5,1.2,1.4,0.7,0.5,0.7,0.5,1.1,0.5,0.5,0.9,1.4,0.7,0.6,0.5,0.5,0.9,1.2,1.4,0.5,0.9,1.4,0.5,0.5,0.5,0.9,0.5,0.7,0.9,1.1,0.5,0.5,0.9,1.2
,Allan,MID,EVE,5000000,0,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1542,0,-1,0,0,0,1542,0,0,0,Aston Villa,Nottingham Forest FC,Brentford F.C.,Leeds United F.C.,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Almiron,MID,NEW,5000000,3,3,3,6E-07,6E-07,0,11764,0,0,0,0,0,0,0,0.6,11764,0,0,3,0,0.6,0,3,0,0,1,0,0,1.4,18688,0,-1,0,0,80,18688,0,0,16,Brighton,Man City,Wolverhampton,Liverpool,Crystal Palace,1.6,2.4,1.6,1.9,3.2,2.7,2.5,2.8,3,2.6,3.4,1.9,3.7,1.8,2.3,2,2.5,1.8,3.4,2.6,3.3,2,2.5,2.2,1.9,2.2,3.5,3.2,2.4,3.1,2.4,2.8,2.3,2.3,2,2.6,1.8
Marcos,Alonso,DEF,CHE,5400000,0,0,0,0,0,0,81105,0,0,0,0,0,0,0,0,81105,-1,1,0,1,0,0,0,0,0,0,0,0,2.6,2866,0,-1,0,0,0,2866,-1,0,0,Tottenham,Leeds United F.C.,Leicester,Southampton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julian,Alvarez,FWD,MCI,6500000,1,1,1,1.53846153846154E-07,1.53846153846154E-07,0,61420,0,0,0,0,0,0,0,0.2,61420,0,0,1,0,0.2,0,1,0,0,0,0,0,2.4,14626,0,-1,0,0,12,14626,0,0,1,Bournemouth,Newcastle,Crystal Palace,Nottingham Forest FC,Aston Villa,0.5,0.5,1.4,1,0.9,0.5,1,1.3,1.4,0.9,0.5,0.7,0.5,0.9,0.8,0.5,0.7,0.5,1.2,1.2,0.5,1.1,0.8,0.5,0.5,1.2,1,1.1,1.2,0.6,0.5,0.5,0.7,0.7,0.5,0.5,0.6
Steven,Alzate,MID,BHA,4500000,0,0,0,0,0,0,2125,0,0,0,0,0,0,0,0,2125,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2382,0,-1,0,0,0,2382,0,0,0,Newcastle,West Ham,Leeds United F.C.,Fulham,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Amad,MID,MUN,4500000,0,0,0,0,0,0,2010,0,0,0,0,0,0,0,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1947,0,-1,0,0,0,1947,0,0,0,Brentford F.C.,Liverpool,Southampton,Leicester,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
